Program "PAW_protein_grouper.py" run on Tue Oct 28 14:22:31 2025


	=SUBTOTAL(109,B6:B7422)																								
5375	1	sp|Q922S4|PDE2A_MOUSE	 	 	 	 	25.6	939	105618	cGMP-dependent 3',5'-cyclic phosphodiesterase OS=Mus musculus OX=10090 GN=Pde2a PE=1 SV=4	60	60	1.000	15	15	14	16	15	15	14	16	15.000	15.000	14.000	16.000
5376	1	sp|Q922U1|PRPF3_MOUSE	 	 	 	 	29.0	683	77454	U4/U6 small nuclear ribonucleoprotein Prp3 OS=Mus musculus OX=10090 GN=Prpf3 PE=1 SV=1	60	60	1.000	9	13	22	16	9	13	22	16	9.000	13.000	22.000	16.000
5378	1	sp|Q922V4|PLRG1_MOUSE	 	 	 	 	26.1	513	56937	Pleiotropic regulator 1 OS=Mus musculus OX=10090 GN=Plrg1 PE=1 SV=1	44	44	1.000	12	11	10	11	12	11	10	11	12.000	11.000	10.000	11.000
5379	1	sp|Q922Y1|UBXN1_MOUSE	 	 	 	 	48.8	297	33572	UBX domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ubxn1 PE=1 SV=1	48	48	1.000	16	14	11	7	16	14	11	7	16.000	14.000	11.000	7.000
5380	1	sp|Q922Z0|OXDD_MOUSE	 	 	 	 	14.4	341	37546	D-aspartate oxidase OS=Mus musculus OX=10090 GN=Ddo PE=1 SV=1	11	11	1.000	4	2	3	2	4	2	3	2	4.000	2.000	3.000	2.000
5381	1	sp|Q923B0|GGACT_MOUSE	 	 	 	 	29.5	149	17080	Gamma-glutamylaminecyclotransferase OS=Mus musculus OX=10090 GN=Ggact PE=1 SV=1	20	20	1.000	7	7	3	3	7	7	3	3	7.000	7.000	3.000	3.000
5382	1	sp|Q923B1|DBR1_MOUSE	 	 	 	 	12.7	550	62289	Lariat debranching enzyme OS=Mus musculus OX=10090 GN=Dbr1 PE=1 SV=2	14	14	1.000	4	2	5	3	4	2	5	3	4.000	2.000	5.000	3.000
5383	1	sp|Q923B6|STEA4_MOUSE	 	 	 	 	36.6	470	52993	Metalloreductase STEAP4 OS=Mus musculus OX=10090 GN=Steap4 PE=1 SV=1	103	103	1.000	25	34	27	17	25	34	27	17	25.000	34.000	27.000	17.000
5384	1	sp|Q923D2|BLVRB_MOUSE	 	 	 	 	62.6	206	22197	Flavin reductase (NADPH) OS=Mus musculus OX=10090 GN=Blvrb PE=1 SV=3	166	166	1.000	45	46	43	32	45	46	43	32	45.000	46.000	43.000	32.000
5385	1	sp|Q923D4|SF3B5_MOUSE	 	 	 	 	40.7	86	10119	Splicing factor 3B subunit 5 OS=Mus musculus OX=10090 GN=Sf3b5 PE=1 SV=1	9	9	1.000	3	1	3	2	3	1	3	2	3.000	1.000	3.000	2.000
5386	1	sp|Q923D5|WBP11_MOUSE	 	 	 	 	21.2	641	69874	WW domain-binding protein 11 OS=Mus musculus OX=10090 GN=Wbp11 PE=1 SV=2	43	43	1.000	10	8	12	13	10	8	12	13	10.000	8.000	12.000	13.000
5387	1	sp|Q923G2|RPAB3_MOUSE	 	 	 	 	26.7	150	17143	DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Mus musculus OX=10090 GN=Polr2h PE=1 SV=3	5	5	1.000	0	0	3	2	0	0	3	2	0.000	0.000	3.000	2.000
5388	1	sp|Q923J1|TRPM7_MOUSE	 	 	 	 	3.0	1863	212396	Transient receptor potential cation channel subfamily M member 7 OS=Mus musculus OX=10090 GN=Trpm7 PE=1 SV=1	4	4	1.000	1	1	0	2	1	1	0	2	1.000	1.000	0.000	2.000
5389	1	sp|Q923K4|GTPB3_MOUSE	 	 	 	 	3.9	492	52175	tRNA modification GTPase GTPBP3, mitochondrial OS=Mus musculus OX=10090 GN=Gtpbp3 PE=2 SV=1	4	4	1.000	0	0	3	1	0	0	3	1	0.000	0.000	3.000	1.000
5390	1	sp|Q923M0|PP16A_MOUSE	 	 	 	 	6.7	524	57529	Protein phosphatase 1 regulatory subunit 16A OS=Mus musculus OX=10090 GN=Ppp1r16a PE=1 SV=1	4	4	1.000	0	1	1	2	0	1	1	2	0.000	1.000	1.000	2.000
5391	1	sp|Q923Q2|STA13_MOUSE	 	 	 	 	10.3	1113	125059	StAR-related lipid transfer protein 13 OS=Mus musculus OX=10090 GN=Stard13 PE=1 SV=5	24	24	1.000	8	4	7	5	8	4	7	5	8.000	4.000	7.000	5.000
5392	1	sp|Q923S9|RAB30_MOUSE	 	 	sp|O35963|RB33B_MOUSE, sp|P35276|RAB3D_MOUSE, sp|P35279|RAB6A_MOUSE, sp|P35283|RAB12_MOUSE, sp|P55258|RAB8A_MOUSE, sp|P56371|RAB4A_MOUSE, sp|P61027|RAB10_MOUSE, sp|P61028|RAB8B_MOUSE, sp|P62821|RAB1A_MOUSE, sp|P63011|RAB3A_MOUSE, sp|Q6PHN9|RAB35_MOUSE, sp|Q8CG50|RAB43_MOUSE, sp|Q91V41|RAB14_MOUSE, sp|Q91ZR1|RAB4B_MOUSE, sp|Q923S9|RAB30_MOUSE, sp|Q9D1G1|RAB1B_MOUSE	 	39.4	203	23058	Ras-related protein Rab-30 OS=Mus musculus OX=10090 GN=Rab30 PE=1 SV=1	57	16	0.281	18	19	11	9	5	5	2	4	5.660	5.683	2.209	4.116
5393	1	sp|Q923T7|TRIM7_MOUSE	 	 	 	 	5.1	510	57020	E3 ubiquitin-protein ligase TRIM7 OS=Mus musculus OX=10090 GN=Trim7 PE=2 SV=2	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
5395	1	sp|Q923U0|TM1L1_MOUSE	 	 	 	 	12.9	474	52694	TOM1-like protein 1 OS=Mus musculus OX=10090 GN=Tom1l1 PE=1 SV=1	9	9	1.000	1	7	0	1	1	7	0	1	1.000	7.000	0.000	1.000
5396	1	sp|Q923X1|AGRL4_MOUSE	 	 	 	 	6.5	739	82245	Adhesion G protein-coupled receptor L4 OS=Mus musculus OX=10090 GN=Adgrl4 PE=2 SV=3	7	7	1.000	0	0	4	3	0	0	4	3	0.000	0.000	4.000	3.000
5397	1	sp|Q923Z3|MTO1_MOUSE	 	 	 	 	12.6	669	74331	Protein MTO1 homolog, mitochondrial OS=Mus musculus OX=10090 GN=Mto1 PE=2 SV=1	22	22	1.000	6	6	6	4	6	6	6	4	6.000	6.000	6.000	4.000
5398	1	sp|Q924A0|TF7L2_MOUSE	 	 	 	 	6.5	459	51216	Transcription factor 7-like 2 OS=Mus musculus OX=10090 GN=Tcf7l2 PE=1 SV=2	4	4	1.000	1	0	3	0	1	0	3	0	1.000	0.000	3.000	0.000
5399	1	sp|Q924A2|CIC_MOUSE	 	 	 	 	3.3	2510	258127	Protein capicua homolog OS=Mus musculus OX=10090 GN=Cic PE=1 SV=2	7	7	1.000	2	2	1	2	2	2	1	2	2.000	2.000	1.000	2.000
5400	1	sp|Q924C1|XPO5_MOUSE	 	 	 	 	23.7	1204	136972	Exportin-5 OS=Mus musculus OX=10090 GN=Xpo5 PE=1 SV=1	69	69	1.000	22	16	17	14	22	16	17	14	22.000	16.000	17.000	14.000
5401	1	sp|Q924D0|RT4I1_MOUSE	 	 	 	 	34.3	396	43371	Reticulon-4-interacting protein 1, mitochondrial OS=Mus musculus OX=10090 GN=Rtn4ip1 PE=1 SV=2	77	77	1.000	21	22	16	18	21	22	16	18	21.000	22.000	16.000	18.000
5402	1	sp|Q924H7|WAC_MOUSE	 	 	 	 	11.9	646	70680	WW domain-containing adapter protein with coiled-coil OS=Mus musculus OX=10090 GN=Wac PE=1 SV=2	10	10	1.000	2	1	3	4	2	1	3	4	2.000	1.000	3.000	4.000
5403	1	sp|Q924H9|DQX1_MOUSE	 	 	 	 	7.0	718	78798	ATP-dependent RNA helicase DQX1 OS=Mus musculus OX=10090 GN=Dqx1 PE=2 SV=1	6	6	1.000	2	1	1	2	2	1	1	2	2.000	1.000	1.000	2.000
5404	1	sp|Q924K8|MTA3_MOUSE	 	 	sp|Q8K4B0|MTA1_MOUSE, sp|Q924K8|MTA3_MOUSE, sp|Q9R190|MTA2_MOUSE	 	20.6	591	67076	Metastasis-associated protein MTA3 OS=Mus musculus OX=10090 GN=Mta3 PE=1 SV=1	21	4	0.190	4	4	4	9	1	0	0	3	1.208	0.000	0.000	3.995
5405	1	sp|Q924L1|LTMD1_MOUSE	 	 	 	 	18.3	360	41700	LETM1 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Letmd1 PE=1 SV=1	26	26	1.000	9	6	7	4	9	6	7	4	9.000	6.000	7.000	4.000
5406	1	sp|Q924M7|MPI_MOUSE	 	 	 	 	31.7	423	46575	Mannose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Mpi PE=1 SV=1	35	35	1.000	10	11	7	7	10	11	7	7	10.000	11.000	7.000	7.000
5407	1	sp|Q924N4|S12A6_MOUSE	 	 	sp|Q91V14|S12A5_MOUSE, sp|Q924N4|S12A6_MOUSE, sp|Q9JIS8|S12A4_MOUSE, sp|Q9WVL3|S12A7_MOUSE	 	7.0	1150	127525	Solute carrier family 12 member 6 OS=Mus musculus OX=10090 GN=Slc12a6 PE=1 SV=2	14	3	0.214	3	2	2	7	0	1	1	1	0.000	1.250	1.333	2.725
5408	1	sp|Q924T2|RT02_MOUSE	 	 	 	 	21.0	291	32313	Small ribosomal subunit protein uS2m OS=Mus musculus OX=10090 GN=Mrps2 PE=1 SV=1	35	35	1.000	9	8	7	11	9	8	7	11	9.000	8.000	7.000	11.000
5409	1	sp|Q924T3|XRCC4_MOUSE	 	 	 	 	10.1	326	37060	DNA repair protein XRCC4 OS=Mus musculus OX=10090 GN=Xrcc4 PE=1 SV=1	5	5	1.000	1	1	2	1	1	1	2	1	1.000	1.000	2.000	1.000
5410	1	sp|Q924T7|RNF31_MOUSE	 	 	 	 	9.3	1066	119313	E3 ubiquitin-protein ligase RNF31 OS=Mus musculus OX=10090 GN=Rnf31 PE=1 SV=2	13	13	1.000	4	4	3	2	4	4	3	2	4.000	4.000	3.000	2.000
5411	1	sp|Q924W5|SMC6_MOUSE	 	 	 	 	1.7	1097	127196	Structural maintenance of chromosomes protein 6 OS=Mus musculus OX=10090 GN=Smc6 PE=1 SV=1	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
5412	1	sp|Q924W7|DEN2B_MOUSE	 	 	 	 	6.0	1134	126860	DENN domain-containing protein 2B OS=Mus musculus OX=10090 GN=Dennd2b PE=1 SV=1	8	8	1.000	2	2	2	2	2	2	2	2	2.000	2.000	2.000	2.000
5413	1	sp|Q924X2|CPT1B_MOUSE	 	 	sp|P97742|CPT1A_MOUSE, sp|Q924X2|CPT1B_MOUSE	 	6.3	772	88216	Carnitine O-palmitoyltransferase 1, muscle isoform OS=Mus musculus OX=10090 GN=Cpt1b PE=1 SV=1	18	2	0.111	3	2	8	5	0	1	1	0	0.000	1.008	1.095	0.000
5414	1	sp|Q924Y0|BODG_MOUSE	 	 	 	 	40.1	387	44698	Gamma-butyrobetaine dioxygenase OS=Mus musculus OX=10090 GN=Bbox1 PE=1 SV=1	171	171	1.000	53	45	33	40	53	45	33	40	53.000	45.000	33.000	40.000
5415	1	sp|Q924Z4|CERS2_MOUSE	 	 	 	 	17.6	380	45024	Ceramide synthase 2 OS=Mus musculus OX=10090 GN=Cers2 PE=1 SV=1	60	60	1.000	13	17	16	14	13	17	16	14	13.000	17.000	16.000	14.000
5416	1	sp|Q924Z6|XPO6_MOUSE	 	 	 	 	1.7	1125	128662	Exportin-6 OS=Mus musculus OX=10090 GN=Xpo6 PE=1 SV=2	4	4	1.000	2	0	1	1	2	0	1	1	2.000	0.000	1.000	1.000
5417	1	sp|Q925B0|PAWR_MOUSE	 	 	 	 	15.0	333	35908	PRKC apoptosis WT1 regulator protein OS=Mus musculus OX=10090 GN=Pawr PE=1 SV=2	7	7	1.000	1	4	2	0	1	4	2	0	1.000	4.000	2.000	0.000
5418	1	sp|Q925E0|SNTG2_MOUSE	 	 	 	 	4.3	539	59597	Gamma-2-syntrophin OS=Mus musculus OX=10090 GN=Sntg2 PE=1 SV=1	6	6	1.000	0	0	4	2	0	0	4	2	0.000	0.000	4.000	2.000
5419	1	sp|Q925E7|2ABD_MOUSE	 	 	sp|Q6P1F6|2ABA_MOUSE, sp|Q6ZWR4|2ABB_MOUSE, sp|Q8BG02|2ABG_MOUSE, sp|Q925E7|2ABD_MOUSE	 	16.6	453	51957	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform OS=Mus musculus OX=10090 GN=Ppp2r2d PE=1 SV=1	17	9	0.529	3	5	6	3	2	1	4	2	2.333	2.333	4.667	2.333
5420	1	sp|Q925F2|ESAM_MOUSE	 	 	 	 	26.4	394	41810	Endothelial cell-selective adhesion molecule OS=Mus musculus OX=10090 GN=Esam PE=1 SV=1	25	25	1.000	6	9	4	6	6	9	4	6	6.000	9.000	4.000	6.000
5421	1	sp|Q925I1|ATD3A_MOUSE	 	 	 	 	49.7	591	66741	ATPase family AAA domain-containing protein 3A OS=Mus musculus OX=10090 GN=Atad3a PE=1 SV=1	242	242	1.000	61	74	45	62	61	74	45	62	61.000	74.000	45.000	62.000
5422	1	sp|Q925J9|MED1_MOUSE	 	 	 	 	3.7	1575	167139	Mediator of RNA polymerase II transcription subunit 1 OS=Mus musculus OX=10090 GN=Med1 PE=1 SV=2	8	8	1.000	2	1	3	2	2	1	3	2	2.000	1.000	3.000	2.000
5423	1	sp|Q925N0|SFXN5_MOUSE	 	 	 	 	36.8	342	37328	Sideroflexin-5 OS=Mus musculus OX=10090 GN=Sfxn5 PE=1 SV=2	54	54	1.000	14	15	13	12	14	15	13	12	14.000	15.000	13.000	12.000
5424	1	sp|Q925N2|SFXN2_MOUSE	 	 	 	 	46.3	322	36141	Sideroflexin-2 OS=Mus musculus OX=10090 GN=Sfxn2 PE=1 SV=1	158	158	1.000	41	37	44	36	41	37	44	36	41.000	37.000	44.000	36.000
5425	1	sp|Q925P2|CEAM2_MOUSE	 	 	sp|P31809|CEAM1_MOUSE, sp|Q925P2|CEAM2_MOUSE	 	16.9	520	57202	Cell adhesion molecule CEACAM2 OS=Mus musculus OX=10090 GN=Ceacam2 PE=1 SV=3	22	7	0.318	5	6	5	6	3	1	1	2	4.500	3.500	3.000	4.667
5426	1	sp|Q925U4|EDEM1_MOUSE	 	 	 	 	6.1	652	73700	ER degradation-enhancing alpha-mannosidase-like protein 1 OS=Mus musculus OX=10090 GN=Edem1 PE=1 SV=1	7	7	1.000	2	2	1	2	2	2	1	2	2.000	2.000	1.000	2.000
5427	1	sp|Q93092|TALDO_MOUSE	 	 	 	 	44.5	337	37387	Transaldolase OS=Mus musculus OX=10090 GN=Taldo1 PE=1 SV=2	291	291	1.000	75	96	63	57	75	96	63	57	75.000	96.000	63.000	57.000
5428	1	sp|Q99020|ROAA_MOUSE	 	 	sp|Q60668|HNRPD_MOUSE, sp|Q99020|ROAA_MOUSE, sp|Q9Z130|HNRDL_MOUSE	 	41.4	285	30831	Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus OX=10090 GN=Hnrnpab PE=1 SV=1	127	93	0.732	30	38	28	31	20	26	23	24	24.167	31.887	25.300	27.429
5429	1	sp|Q99104|MYO5A_MOUSE	 	 	sp|P21271|MYO5B_MOUSE, sp|Q8CIF6|SIDT2_MOUSE, sp|Q99104|MYO5A_MOUSE, tr|E9Q1F5|E9Q1F5_MOUSE	 	1.8	1853	215536	Unconventional myosin-Va OS=Mus musculus OX=10090 GN=Myo5a PE=1 SV=2	6	0	0.000	2	1	3	0	0	0	0	0	0.000	0.000	0.000	0.000
5431	1	sp|Q99J09|MEP50_MOUSE	 	 	 	 	14.0	342	36942	Methylosome protein WDR77 OS=Mus musculus OX=10090 GN=Wdr77 PE=1 SV=1	8	8	1.000	4	1	1	2	4	1	1	2	4.000	1.000	1.000	2.000
5432	1	sp|Q99J10|CTU1_MOUSE	 	 	 	 	6.0	420	43823	Cytoplasmic tRNA 2-thiolation protein 1 OS=Mus musculus OX=10090 GN=Ctu1 PE=2 SV=1	3	3	1.000	0	3	0	0	0	3	0	0	0.000	3.000	0.000	0.000
5433	1	sp|Q99J23|GHDC_MOUSE	 	 	 	 	6.6	532	58507	GH3 domain-containing protein OS=Mus musculus OX=10090 GN=Ghdc PE=2 SV=2	14	14	1.000	4	5	2	3	4	5	2	3	4.000	5.000	2.000	3.000
5434	1	sp|Q99J27|ACATN_MOUSE	 	 	 	 	16.0	550	61075	Acetyl-coenzyme A transporter 1 OS=Mus musculus OX=10090 GN=Slc33a1 PE=1 SV=1	50	50	1.000	14	19	10	7	14	19	10	7	14.000	19.000	10.000	7.000
5435	1	sp|Q99J36|THUM1_MOUSE	 	 	 	 	24.9	350	38885	THUMP domain-containing protein 1 OS=Mus musculus OX=10090 GN=Thumpd1 PE=1 SV=1	53	53	1.000	15	16	10	12	15	16	10	12	15.000	16.000	10.000	12.000
5436	1	sp|Q99J39|DCMC_MOUSE	 	 	 	 	54.5	492	54735	Malonyl-CoA decarboxylase, mitochondrial OS=Mus musculus OX=10090 GN=Mlycd PE=1 SV=1	203	203	1.000	59	59	35	50	59	59	35	50	59.000	59.000	35.000	50.000
5437	1	sp|Q99J45|NRBP_MOUSE	 	 	 	 	12.9	535	59865	Nuclear receptor-binding protein OS=Mus musculus OX=10090 GN=Nrbp1 PE=1 SV=1	20	20	1.000	6	6	2	6	6	6	2	6	6.000	6.000	2.000	6.000
5438	1	sp|Q99J47|DRS7B_MOUSE	 	 	 	 	28.5	323	34986	Dehydrogenase/reductase SDR family member 7B OS=Mus musculus OX=10090 GN=Dhrs7b PE=1 SV=1	66	66	1.000	18	16	16	16	18	16	16	16	18.000	16.000	16.000	16.000
5439	1	sp|Q99J56|DERL1_MOUSE	 	 	 	 	23.1	251	28834	Derlin-1 OS=Mus musculus OX=10090 GN=Derl1 PE=1 SV=1	65	65	1.000	17	19	13	16	17	19	13	16	17.000	19.000	13.000	16.000
5440	1	sp|Q99J62|RFC4_MOUSE	 	 	 	 	16.5	364	39866	Replication factor C subunit 4 OS=Mus musculus OX=10090 GN=Rfc4 PE=1 SV=1	8	8	1.000	3	2	3	0	3	2	3	0	3.000	2.000	3.000	0.000
5441	1	sp|Q99J77|SIAS_MOUSE	 	 	 	 	34.3	359	40024	Sialic acid synthase OS=Mus musculus OX=10090 GN=Nans PE=1 SV=1	87	87	1.000	30	22	17	18	30	22	17	18	30.000	22.000	17.000	18.000
5442	1	sp|Q99J83|ATG5_MOUSE	 	 	 	 	29.5	275	32402	Autophagy protein 5 OS=Mus musculus OX=10090 GN=Atg5 PE=1 SV=1	19	19	1.000	7	5	5	2	7	5	5	2	7.000	5.000	5.000	2.000
5443	1	sp|Q99J87|DHX58_MOUSE	 	 	sp|Q6PD26|PIGS_MOUSE, sp|Q99J87|DHX58_MOUSE	 	12.2	678	76708	ATP-dependent RNA helicase DHX58 OS=Mus musculus OX=10090 GN=Dhx58 PE=1 SV=2	15	12	0.800	4	6	3	2	3	5	3	1	3.188	5.238	3.000	1.125
5444	1	sp|Q99J93|IFM2_MOUSE	 	 	sp|Q99J93|IFM2_MOUSE, sp|Q9CQW9|IFM3_MOUSE	 	16.7	144	15743	Interferon-induced transmembrane protein 2 OS=Mus musculus OX=10090 GN=Ifitm2 PE=1 SV=1	21	9	0.429	7	7	3	4	2	4	2	1	3.429	5.500	2.500	2.000
5445	1	sp|Q99J94|SO1A6_MOUSE	 	 	sp|Q91YY5|SO1A5_MOUSE, sp|Q99J94|SO1A6_MOUSE, sp|Q9EP96|SO1A4_MOUSE, sp|Q9QXZ6|SO1A1_MOUSE, tr|M0QWR8|M0QWR8_MOUSE	 	10.3	670	74144	Solute carrier organic anion transporter family member 1A6 OS=Mus musculus OX=10090 GN=Slco1a6 PE=1 SV=1	61	0	0.000	10	25	14	12	0	0	0	0	0.000	0.000	0.000	0.000
5446	1	sp|Q99J95|CDK9_MOUSE	 	 	sp|P08103|HCK_MOUSE, sp|P21803|FGFR2_MOUSE, sp|P25911|LYN_MOUSE, sp|P30285|CDK4_MOUSE, sp|P39688|FYN_MOUSE, sp|P49615|CDK5_MOUSE, sp|P97377|CDK2_MOUSE, sp|Q03142|FGFR4_MOUSE, sp|Q04736|YES_MOUSE, sp|Q04899|CDK18_MOUSE, sp|Q14AX6|CDK12_MOUSE, sp|Q61851|FGFR3_MOUSE, sp|Q64261|CDK6_MOUSE, sp|Q69ZA1|CDK13_MOUSE, sp|Q8K0D0|CDK17_MOUSE, sp|Q99J95|CDK9_MOUSE	 	25.5	372	42761	Cyclin-dependent kinase 9 OS=Mus musculus OX=10090 GN=Cdk9 PE=1 SV=1	33	16	0.485	9	10	6	8	4	5	2	5	4.814	5.825	2.372	5.741
5447	1	sp|Q99J99|THTM_MOUSE	 	 	 	 	55.2	297	33097	3-mercaptopyruvate sulfurtransferase OS=Mus musculus OX=10090 GN=Mpst PE=1 SV=4	225	225	1.000	63	66	51	45	63	66	51	45	63.000	66.000	51.000	45.000
5448	1	sp|Q99JB2|STML2_MOUSE	 	 	 	 	32.6	353	38384	Stomatin-like protein 2, mitochondrial OS=Mus musculus OX=10090 GN=Stoml2 PE=1 SV=1	63	63	1.000	20	15	15	13	20	15	15	13	20.000	15.000	15.000	13.000
5449	1	sp|Q99JB8|PACN3_MOUSE	 	 	 	 	35.4	424	48584	Protein kinase C and casein kinase II substrate protein 3 OS=Mus musculus OX=10090 GN=Pacsin3 PE=1 SV=1	63	63	1.000	15	20	13	15	15	20	13	15	15.000	20.000	13.000	15.000
5450	1	sp|Q99JF5|MVD1_MOUSE	 	 	 	 	21.2	401	44072	Diphosphomevalonate decarboxylase OS=Mus musculus OX=10090 GN=Mvd PE=1 SV=2	31	31	1.000	7	9	8	7	7	9	8	7	7.000	9.000	8.000	7.000
5451	1	sp|Q99JF8|PSIP1_MOUSE	 	 	sp|P51859|HDGF_MOUSE, sp|Q3UMU9|HDGR2_MOUSE, sp|Q99JF8|PSIP1_MOUSE, sp|Q9JMG7|HDGR3_MOUSE	 	35.8	528	59696	PC4 and SFRS1-interacting protein OS=Mus musculus OX=10090 GN=Psip1 PE=1 SV=1	71	65	0.915	16	19	20	16	14	18	18	15	14.528	18.305	18.766	15.319
5452	1	sp|Q99JG3|ANX13_MOUSE	 	 	 	 	11.4	317	35921	Annexin A13 OS=Mus musculus OX=10090 GN=Anxa13 PE=1 SV=3	6	6	1.000	2	2	2	0	2	2	2	0	2.000	2.000	2.000	0.000
5453	1	sp|Q99JI4|PSMD6_MOUSE	 	 	 	 	56.3	389	45536	26S proteasome non-ATPase regulatory subunit 6 OS=Mus musculus OX=10090 GN=Psmd6 PE=1 SV=1	171	171	1.000	52	43	38	38	52	43	38	38	52.000	43.000	38.000	38.000
5454	1	sp|Q99JI6|RAP1B_MOUSE	 	 	sp|P35276|RAB3D_MOUSE, sp|P62835|RAP1A_MOUSE, sp|Q99JI6|RAP1B_MOUSE	 	44.6	184	20825	Ras-related protein Rap-1b OS=Mus musculus OX=10090 GN=Rap1b PE=1 SV=2	75	22	0.293	19	22	15	19	6	9	4	3	12.500	15.500	9.500	10.940
5455	1	sp|Q99JN2|KLH22_MOUSE	 	 	 	 	9.1	634	71686	Kelch-like protein 22 OS=Mus musculus OX=10090 GN=Klhl22 PE=1 SV=1	7	7	1.000	4	0	2	1	4	0	2	1	4.000	0.000	2.000	1.000
5456	1	sp|Q99JP0|M4K3_MOUSE	 	 	sp|Q8BPM2|M4K5_MOUSE, sp|Q99JP0|M4K3_MOUSE	 	4.8	894	101117	Mitogen-activated protein kinase kinase kinase kinase 3 OS=Mus musculus OX=10090 GN=Map4k3 PE=1 SV=4	10	6	0.600	2	3	3	2	1	2	2	1	1.333	2.400	2.333	1.143
5457	1	sp|Q99JP4|CDC26_MOUSE	 	 	 	 	34.1	85	9761	Anaphase-promoting complex subunit CDC26 OS=Mus musculus OX=10090 GN=Cdc26 PE=1 SV=1	4	4	1.000	0	1	1	2	0	1	1	2	0.000	1.000	1.000	2.000
5458	1	sp|Q99JP6|HOME3_MOUSE	 	 	sp|Q99JP6|HOME3_MOUSE, sp|Q9QWW1|HOME2_MOUSE, sp|Q9Z2Y3|HOME1_MOUSE	 	13.8	356	39694	Homer protein homolog 3 OS=Mus musculus OX=10090 GN=Homer3 PE=1 SV=2	6	3	0.500	3	1	2	0	2	0	1	0	2.200	0.000	1.077	0.000
5459	1	sp|Q99JR1|SFXN1_MOUSE	 	 	sp|Q91V61|SFXN3_MOUSE, sp|Q99JR1|SFXN1_MOUSE	 	49.4	322	35649	Sideroflexin-1 OS=Mus musculus OX=10090 GN=Sfxn1 PE=1 SV=3	266	237	0.891	91	75	51	49	84	67	44	42	90.759	74.657	50.696	48.837
5460	1	sp|Q99JR5|TINAL_MOUSE	 	 	 	 	26.4	466	52664	Tubulointerstitial nephritis antigen-like OS=Mus musculus OX=10090 GN=Tinagl1 PE=1 SV=1	39	39	1.000	12	7	13	7	12	7	13	7	12.000	7.000	13.000	7.000
5461	1	sp|Q99JR6|NMNA3_MOUSE	 	 	 	 	63.7	245	27702	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 OS=Mus musculus OX=10090 GN=Nmnat3 PE=1 SV=1	42	42	1.000	8	11	11	12	8	11	11	12	8.000	11.000	11.000	12.000
5462	1	sp|Q99JR8|SMRD2_MOUSE	 	 	 	 	35.4	531	59084	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 OS=Mus musculus OX=10090 GN=Smarcd2 PE=1 SV=2	36	34	0.944	11	6	10	9	11	6	8	9	11.000	6.000	10.000	9.000
5463	1	sp|Q99JT1|GATB_MOUSE	 	 	 	 	19.2	557	62118	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Mus musculus OX=10090 GN=Gatb PE=1 SV=1	21	21	1.000	4	6	8	3	4	6	8	3	4.000	6.000	8.000	3.000
5464	1	sp|Q99JT2|STK26_MOUSE	 	 	sp|Q99JT2|STK26_MOUSE, sp|Q99KH8|STK24_MOUSE, sp|Q9Z2W1|STK25_MOUSE	 	18.5	416	46613	Serine/threonine-protein kinase 26 OS=Mus musculus OX=10090 GN=Stk26 PE=1 SV=1	34	3	0.088	9	8	11	6	0	0	2	1	0.000	0.000	3.939	2.167
5465	1	sp|Q99JT6|TLCD1_MOUSE	 	 	 	 	13.4	247	28787	TLC domain-containing protein 1 OS=Mus musculus OX=10090 GN=Tlcd1 PE=2 SV=1	18	18	1.000	3	7	4	4	3	7	4	4	3.000	7.000	4.000	4.000
5466	1	sp|Q99JT9|MTND_MOUSE	 	 	 	 	49.7	179	21523	Acireductone dioxygenase OS=Mus musculus OX=10090 GN=Adi1 PE=1 SV=1	63	63	1.000	16	19	16	12	16	19	16	12	16.000	19.000	16.000	12.000
5467	1	sp|Q99JV5|STAR4_MOUSE	 	 	 	 	38.4	224	25579	StAR-related lipid transfer protein 4 OS=Mus musculus OX=10090 GN=Stard4 PE=1 SV=1	14	14	1.000	4	5	3	2	4	5	3	2	4.000	5.000	3.000	2.000
5468	1	sp|Q99JW1|AB17A_MOUSE	 	 	sp|Q7M759|AB17B_MOUSE, sp|Q8VCV1|AB17C_MOUSE, sp|Q99JW1|AB17A_MOUSE	 	9.4	310	33949	Alpha/beta hydrolase domain-containing protein 17A OS=Mus musculus OX=10090 GN=Abhd17a PE=1 SV=1	8	3	0.375	1	3	2	2	0	1	1	1	0.500	2.500	1.500	2.000
5469	1	sp|Q99JW2|ACY1_MOUSE	 	 	 	 	63.5	408	45780	Aminoacylase-1 OS=Mus musculus OX=10090 GN=Acy1 PE=1 SV=1	240	240	1.000	64	76	50	50	64	76	50	50	64.000	76.000	50.000	50.000
