PAW protein_summary_9 results file
written: Sat Nov  8 16:01:30 2025

 	=subtotal(109,B6:B8622)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
6251.0	1	sp|Q99KQ4|NAMPT_MOUSE	 	69.2	491	55446	Nicotinamide phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Nampt PE=1 SV=1	332	332	1.000	24	27	25	28	32	34	28	31	29	30	20	24	24	27	25	28	32	34	28	31	29	30	20	24	24.000	27.000	25.000	28.000	32.000	34.000	28.000	31.000	29.000	30.000	20.000	24.000	 
6252.0	1	sp|Q99KR3|LACB2_MOUSE	 	69.1	288	32754	Endoribonuclease LACTB2 OS=Mus musculus OX=10090 GN=Lactb2 PE=1 SV=1	352	352	1.000	26	29	24	28	30	28	31	32	28	31	32	33	26	29	24	28	30	28	31	32	28	31	32	33	26.000	29.000	24.000	28.000	30.000	28.000	31.000	32.000	28.000	31.000	32.000	33.000	 
6253.0	1	sp|Q99KR6|RNF34_MOUSE	 	10.9	376	42030	E3 ubiquitin-protein ligase RNF34 OS=Mus musculus OX=10090 GN=Rnf34 PE=1 SV=1	4	3	0.750	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0.000	0.000	0.000	0.000	2.000	0.000	1.048	0.000	0.000	0.000	0.000	0.000	sp|Q80SY4|MIB1_MOUSE, sp|Q99KR6|RNF34_MOUSE
6254.0	1	sp|Q99KR7|PPIF_MOUSE	 	62.1	206	21737	Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Mus musculus OX=10090 GN=Ppif PE=1 SV=1	199	175	0.879	16	17	14	15	19	20	20	16	15	18	12	17	14	15	12	13	17	18	18	13	13	16	11	15	15.647	15.846	12.863	13.801	17.961	18.961	19.043	14.650	13.728	16.899	11.846	15.956	sp|Q99KR7|PPIF_MOUSE, sp|Q9CR16|PPID_MOUSE, sp|Q9ERU9|RBP2_MOUSE, sp|Q9QZH3|PPIE_MOUSE
6255.0	1	sp|Q99KS2|NGRN_MOUSE	 	30.7	293	32446	Neugrin OS=Mus musculus OX=10090 GN=Ngrn PE=2 SV=3	7	7	1.000	2	0	0	0	0	0	0	1	1	1	1	1	2	0	0	0	0	0	0	1	1	1	1	1	2.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	1.000	1.000	1.000	 
6256.0	1	sp|Q99KS6|ADPRM_MOUSE	 	18.5	340	38947	Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase OS=Mus musculus OX=10090 GN=Adprm PE=1 SV=1	13	13	1.000	2	2	4	3	1	0	0	0	1	0	0	0	2	2	4	3	1	0	0	0	1	0	0	0	2.000	2.000	4.000	3.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	 
6257.0	1	sp|Q99KU0|VMP1_MOUSE	 	9.1	406	45960	Vacuole membrane protein 1 OS=Mus musculus OX=10090 GN=Vmp1 PE=1 SV=2	46	46	1.000	3	4	4	6	4	4	4	4	4	4	2	3	3	4	4	6	4	4	4	4	4	4	2	3	3.000	4.000	4.000	6.000	4.000	4.000	4.000	4.000	4.000	4.000	2.000	3.000	 
6258.0	1	sp|Q99KU6|CF089_MOUSE	 	12.1	348	39485	Bombesin receptor-activated protein C6orf89 homolog OS=Mus musculus OX=10090 PE=2 SV=2	8	8	1.000	1	1	0	1	0	0	0	2	1	0	1	1	1	1	0	1	0	0	0	2	1	0	1	1	1.000	1.000	0.000	1.000	0.000	0.000	0.000	2.000	1.000	0.000	1.000	1.000	 
6259.0	1	sp|Q99KV1|DJB11_MOUSE	 	43.0	358	40555	DnaJ homolog subfamily B member 11 OS=Mus musculus OX=10090 GN=Dnajb11 PE=1 SV=1	209	209	1.000	19	20	14	13	20	20	16	23	17	16	10	21	19	20	14	13	20	20	16	23	17	16	10	21	19.000	20.000	14.000	13.000	20.000	20.000	16.000	23.000	17.000	16.000	10.000	21.000	 
6260.0	1	sp|Q99KW3|TARA_MOUSE	 	16.4	2014	223365	TRIO and F-actin-binding protein OS=Mus musculus OX=10090 GN=Triobp PE=1 SV=3	147	135	0.918	15	14	13	9	16	13	14	12	9	7	9	16	15	14	12	8	15	12	13	11	8	5	8	14	15.000	14.000	12.414	8.267	15.441	12.308	13.351	11.314	8.242	6.147	8.296	15.400	sp|P97434|MPRIP_MOUSE, sp|Q99KW3|TARA_MOUSE, tr|A0A087WPM2|A0A087WPM2_MOUSE
6261.0	1	sp|Q99KW9|TIP_MOUSE	 	17.5	610	67464	T-cell immunomodulatory protein OS=Mus musculus OX=10090 GN=Itfg1 PE=1 SV=2	48	48	1.000	4	3	2	8	4	4	4	4	4	3	3	5	4	3	2	8	4	4	4	4	4	3	3	5	4.000	3.000	2.000	8.000	4.000	4.000	4.000	4.000	4.000	3.000	3.000	5.000	 
6262.0	1	sp|Q99KX1|MLF2_MOUSE	 	32.4	247	28055	Myeloid leukemia factor 2 OS=Mus musculus OX=10090 GN=Mlf2 PE=1 SV=1	15	15	1.000	3	1	2	1	3	1	2	1	1	0	0	0	3	1	2	1	3	1	2	1	1	0	0	0	3.000	1.000	2.000	1.000	3.000	1.000	2.000	1.000	1.000	0.000	0.000	0.000	 
6263.0	1	sp|Q99KY4|GAK_MOUSE	 	42.5	1305	143639	Cyclin-G-associated kinase OS=Mus musculus OX=10090 GN=Gak PE=1 SV=2	272	272	1.000	20	22	19	20	18	23	26	29	26	32	17	20	20	22	19	20	18	23	26	29	26	32	17	20	20.000	22.000	19.000	20.000	18.000	23.000	26.000	29.000	26.000	32.000	17.000	20.000	 
6264.0	1	sp|Q99L00|HAUS8_MOUSE	 	7.0	373	41653	HAUS augmin-like complex subunit 8 OS=Mus musculus OX=10090 GN=Haus8 PE=1 SV=2	6	6	1.000	0	0	2	1	0	1	0	0	1	0	0	1	0	0	2	1	0	1	0	0	1	0	0	1	0.000	0.000	2.000	1.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	 
6265.0	1	sp|Q99L04|DHRS1_MOUSE	 	66.1	313	34005	Dehydrogenase/reductase SDR family member 1 OS=Mus musculus OX=10090 GN=Dhrs1 PE=1 SV=1	273	273	1.000	15	20	17	20	22	27	23	26	24	28	25	26	15	20	17	20	22	27	23	26	24	28	25	26	15.000	20.000	17.000	20.000	22.000	27.000	23.000	26.000	24.000	28.000	25.000	26.000	 
6266.0	1	sp|Q99L13|3HIDH_MOUSE	 	76.1	335	35440	3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Hibadh PE=1 SV=1	513	513	1.000	47	50	47	54	49	41	35	33	50	40	33	34	47	50	47	54	49	41	35	33	50	40	33	34	47.000	50.000	47.000	54.000	49.000	41.000	35.000	33.000	50.000	40.000	33.000	34.000	 
6267.0	1	sp|Q99L20|GSTT3_MOUSE	 	66.0	241	27403	Glutathione S-transferase theta-3 OS=Mus musculus OX=10090 GN=Gstt3 PE=1 SV=1	326	279	0.856	30	31	24	30	30	28	26	24	18	23	28	34	25	26	19	26	24	26	21	20	17	22	24	29	28.472	29.421	21.969	29.059	27.789	27.300	24.281	22.500	17.500	22.629	26.182	32.021	sp|Q61133|GSTT2_MOUSE, sp|Q99L20|GSTT3_MOUSE
6268.0	1	sp|Q99L27|GMPR2_MOUSE	 	47.4	348	38018	GMP reductase 2 OS=Mus musculus OX=10090 GN=Gmpr2 PE=1 SV=2	97	85	0.876	5	9	8	6	9	10	10	9	10	7	7	7	5	7	7	6	7	9	9	7	10	6	6	6	5.000	8.400	8.000	6.000	8.400	9.818	9.750	8.556	10.000	6.750	6.750	6.750	sp|Q99L27|GMPR2_MOUSE, sp|Q9DCZ1|GMPR1_MOUSE
6269.0	1	sp|Q99L28|RLP24_MOUSE	 	27.6	163	19611	Probable ribosome biogenesis protein RLP24 OS=Mus musculus OX=10090 GN=Rsl24d1 PE=2 SV=1	20	20	1.000	0	1	1	1	1	3	2	2	2	2	1	4	0	1	1	1	1	3	2	2	2	2	1	4	0.000	1.000	1.000	1.000	1.000	3.000	2.000	2.000	2.000	2.000	1.000	4.000	 
6270.0	1	sp|Q99L43|CDS2_MOUSE	 	24.5	444	51313	Phosphatidate cytidylyltransferase 2 OS=Mus musculus OX=10090 GN=Cds2 PE=1 SV=1	26	26	1.000	2	1	2	3	3	2	3	2	2	1	1	4	2	1	2	3	3	2	3	2	2	1	1	4	2.000	1.000	2.000	3.000	3.000	2.000	3.000	2.000	2.000	1.000	1.000	4.000	 
6271.0	1	sp|Q99L45|IF2B_MOUSE	 	71.6	331	38092	Eukaryotic translation initiation factor 2 subunit 2 OS=Mus musculus OX=10090 GN=Eif2s2 PE=1 SV=1	274	274	1.000	22	19	16	16	20	30	27	28	22	18	28	28	22	19	16	16	20	30	27	28	22	18	28	28	22.000	19.000	16.000	16.000	20.000	30.000	27.000	28.000	22.000	18.000	28.000	28.000	 
6272.0	1	sp|Q99L47|F10A1_MOUSE	 	32.1	371	41656	Hsc70-interacting protein OS=Mus musculus OX=10090 GN=St13 PE=1 SV=1	186	186	1.000	16	15	13	15	14	20	20	17	13	15	10	18	16	15	13	15	14	20	20	17	13	15	10	18	16.000	15.000	13.000	15.000	14.000	20.000	20.000	17.000	13.000	15.000	10.000	18.000	 
6273.0	1	sp|Q99L48|NMD3_MOUSE	 	43.7	503	57611	60S ribosomal export protein NMD3 OS=Mus musculus OX=10090 GN=Nmd3 PE=1 SV=1	107	107	1.000	7	8	10	6	13	8	9	9	10	10	9	8	7	8	10	6	13	8	9	9	10	10	9	8	7.000	8.000	10.000	6.000	13.000	8.000	9.000	9.000	10.000	10.000	9.000	8.000	 
6274.0	1	sp|Q99L60|VATC2_MOUSE	 	7.3	427	48350	V-type proton ATPase subunit C 2 OS=Mus musculus OX=10090 GN=Atp6v1c2 PE=1 SV=1	8	5	0.625	1	0	2	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0.000	0.000	1.091	0.000	0.000	1.000	1.000	1.000	0.000	0.000	0.000	1.000	sp|Q99L60|VATC2_MOUSE, sp|Q9Z1G3|VATC1_MOUSE
6275.0	1	sp|Q99L85|ELP5_MOUSE	 	10.7	300	33497	Elongator complex protein 5 OS=Mus musculus OX=10090 GN=Elp5 PE=2 SV=1	16	16	1.000	1	2	2	1	2	1	1	1	2	3	0	0	1	2	2	1	2	1	1	1	2	3	0	0	1.000	2.000	2.000	1.000	2.000	1.000	1.000	1.000	2.000	3.000	0.000	0.000	 
6276.0	1	sp|Q99L88|SNTB1_MOUSE	 	60.5	537	58081	Beta-1-syntrophin OS=Mus musculus OX=10090 GN=Sntb1 PE=1 SV=4	223	207	0.928	19	16	18	16	20	21	24	17	20	19	16	17	17	15	17	15	19	20	22	16	19	17	14	16	18.169	15.682	17.586	15.556	19.594	20.541	23.190	16.552	19.487	18.030	15.219	16.667	sp|Q61234|SNTA1_MOUSE, sp|Q61235|SNTB2_MOUSE, sp|Q99L88|SNTB1_MOUSE
6277.0	1	sp|Q99LB2|DHRS4_MOUSE	 	83.5	279	29884	Dehydrogenase/reductase SDR family member 4 OS=Mus musculus OX=10090 GN=Dhrs4 PE=1 SV=3	520	520	1.000	40	47	40	50	52	53	38	42	42	43	39	34	40	47	40	50	52	53	38	42	42	43	39	34	40.000	47.000	40.000	50.000	52.000	53.000	38.000	42.000	42.000	43.000	39.000	34.000	 
6278.0	1	sp|Q99LB6|MAT2B_MOUSE	 	54.8	334	37392	Methionine adenosyltransferase 2 subunit beta OS=Mus musculus OX=10090 GN=Mat2b PE=1 SV=1	128	128	1.000	12	16	10	10	11	10	11	11	10	12	7	8	12	16	10	10	11	10	11	11	10	12	7	8	12.000	16.000	10.000	10.000	11.000	10.000	11.000	11.000	10.000	12.000	7.000	8.000	 
6279.0	1	sp|Q99LB7|SARDH_MOUSE	 	80.1	919	101681	Sarcosine dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Sardh PE=1 SV=1	2806	2806	1.000	239	245	216	233	241	250	253	255	233	228	194	219	239	245	216	233	241	250	253	255	233	228	194	219	239.000	245.000	216.000	233.000	241.000	250.000	253.000	255.000	233.000	228.000	194.000	219.000	 
6280.0	1	sp|Q99LC2|CSTF1_MOUSE	 	42.2	431	48381	Cleavage stimulation factor subunit 1 OS=Mus musculus OX=10090 GN=Cstf1 PE=1 SV=1	100	92	0.920	7	6	8	8	6	8	12	8	3	6	14	14	7	6	7	7	5	7	11	7	3	5	13	14	7.000	6.000	8.000	8.000	5.833	8.000	12.000	7.875	3.000	6.000	14.000	14.000	REV_Q8BGH4, sp|Q99LC2|CSTF1_MOUSE
6281.0	1	sp|Q99LC3|NDUAA_MOUSE	 	69.3	355	40603	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Mus musculus OX=10090 GN=Ndufa10 PE=1 SV=1	328	328	1.000	34	29	19	26	22	23	28	33	21	21	34	38	34	29	19	26	22	23	28	33	21	21	34	38	34.000	29.000	19.000	26.000	22.000	23.000	28.000	33.000	21.000	21.000	34.000	38.000	 
6282.0	1	sp|Q99LC5|ETFA_MOUSE	 	76.0	333	35009	Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Etfa PE=1 SV=2	1089	1089	1.000	68	111	86	92	88	94	104	90	96	100	71	89	68	111	86	92	88	94	104	90	96	100	71	89	68.000	111.000	86.000	92.000	88.000	94.000	104.000	90.000	96.000	100.000	71.000	89.000	 
6283.0	1	sp|Q99LC8|EI2BA_MOUSE	 	38.7	305	33816	Translation initiation factor eIF2B subunit alpha OS=Mus musculus OX=10090 GN=Eif2b1 PE=1 SV=1	83	83	1.000	4	6	9	6	8	6	7	8	6	9	5	9	4	6	9	6	8	6	7	8	6	9	5	9	4.000	6.000	9.000	6.000	8.000	6.000	7.000	8.000	6.000	9.000	5.000	9.000	 
6284.0	1	sp|Q99LC9|PEX6_MOUSE	 	51.8	981	104547	Peroxisomal ATPase PEX6 OS=Mus musculus OX=10090 GN=Pex6 PE=1 SV=1	195	188	0.964	12	15	15	16	16	16	18	19	17	19	15	17	12	14	15	16	16	15	17	18	16	18	15	16	12.000	14.933	15.000	16.000	16.000	16.000	18.000	19.000	17.000	19.000	15.000	16.941	REV_P97479, sp|Q99LC9|PEX6_MOUSE
6285.0	1	sp|Q99LD4|CSN1_MOUSE	 	33.5	471	53442	COP9 signalosome complex subunit 1 OS=Mus musculus OX=10090 GN=Gps1 PE=1 SV=1	139	139	1.000	15	15	10	13	13	14	11	11	7	8	11	11	15	15	10	13	13	14	11	11	7	8	11	11	15.000	15.000	10.000	13.000	13.000	14.000	11.000	11.000	7.000	8.000	11.000	11.000	 
6286.0	1	sp|Q99LD8|DDAH2_MOUSE	 	42.5	285	29645	Putative hydrolase DDAH2 OS=Mus musculus OX=10090 GN=Ddah2 PE=1 SV=1	74	52	0.703	5	5	8	4	5	6	6	7	5	7	9	7	4	3	5	3	4	4	3	4	4	5	7	6	4.148	3.214	5.556	3.103	4.160	4.250	3.300	4.444	4.160	5.385	7.412	6.171	sp|Q99LD8|DDAH2_MOUSE, sp|Q9CWS0|DDAH1_MOUSE
6287.0	1	sp|Q99LD9|EI2BB_MOUSE	 	57.8	351	38897	Translation initiation factor eIF2B subunit beta OS=Mus musculus OX=10090 GN=Eif2b2 PE=1 SV=1	140	140	1.000	10	11	11	15	14	13	12	14	11	10	8	11	10	11	11	15	14	13	12	14	11	10	8	11	10.000	11.000	11.000	15.000	14.000	13.000	12.000	14.000	11.000	10.000	8.000	11.000	 
6288.0	1	sp|Q99LE3|LYSM3_MOUSE	 	12.8	305	34257	LysM and putative peptidoglycan-binding domain-containing protein 3 OS=Mus musculus OX=10090 GN=Lysmd3 PE=2 SV=1	7	7	1.000	1	0	0	1	0	1	0	1	0	2	0	1	1	0	0	1	0	1	0	1	0	2	0	1	1.000	0.000	0.000	1.000	0.000	1.000	0.000	1.000	0.000	2.000	0.000	1.000	 
6289.0	1	sp|Q99LE6|ABCF2_MOUSE	 	49.2	628	71781	ATP-binding cassette sub-family F member 2 OS=Mus musculus OX=10090 GN=Abcf2 PE=1 SV=1	202	202	1.000	16	13	12	15	15	23	20	19	13	17	18	21	16	13	12	15	15	23	20	19	13	17	18	21	16.000	13.000	12.000	15.000	15.000	23.000	20.000	19.000	13.000	17.000	18.000	21.000	 
6290.0	1	sp|Q99LF4|RTCB_MOUSE	 	70.1	505	55249	RNA-splicing ligase RtcB homolog OS=Mus musculus OX=10090 GN=Rtcb PE=1 SV=1	321	321	1.000	20	25	32	29	28	30	25	27	37	27	21	20	20	25	32	29	28	30	25	27	37	27	21	20	20.000	25.000	32.000	29.000	28.000	30.000	25.000	27.000	37.000	27.000	21.000	20.000	 
6291.0	1	sp|Q99LG0|UBP16_MOUSE	 	40.1	825	93433	Ubiquitin carboxyl-terminal hydrolase 16 OS=Mus musculus OX=10090 GN=Usp16 PE=1 SV=2	154	154	1.000	8	12	11	5	15	13	12	16	13	13	16	20	8	12	11	5	15	13	12	16	13	13	16	20	8.000	12.000	11.000	5.000	15.000	13.000	12.000	16.000	13.000	13.000	16.000	20.000	 
6292.0	1	sp|Q99LG2|TNPO2_MOUSE	 	36.9	887	100455	Transportin-2 OS=Mus musculus OX=10090 GN=Tnpo2 PE=1 SV=1	101	70	0.693	8	8	6	10	10	7	11	10	7	10	6	8	3	4	4	5	8	5	7	8	6	9	5	6	3.938	4.941	4.421	6.250	8.842	5.556	8.333	8.941	6.375	9.409	5.333	6.632	sp|Q8BFY9|TNPO1_MOUSE, sp|Q99LG2|TNPO2_MOUSE
6293.0	1	sp|Q99LG4|TTC5_MOUSE	 	11.4	440	48795	Tetratricopeptide repeat protein 5 OS=Mus musculus OX=10090 GN=Ttc5 PE=1 SV=2	12	12	1.000	0	1	1	0	0	1	4	3	1	1	0	0	0	1	1	0	0	1	4	3	1	1	0	0	0.000	1.000	1.000	0.000	0.000	1.000	4.000	3.000	1.000	1.000	0.000	0.000	 
6294.0	1	sp|Q99LH1|NOG2_MOUSE	 	18.4	728	83345	Nucleolar GTP-binding protein 2 OS=Mus musculus OX=10090 GN=Gnl2 PE=1 SV=2	32	32	1.000	1	3	3	1	4	5	5	3	2	3	0	2	1	3	3	1	4	5	5	3	2	3	0	2	1.000	3.000	3.000	1.000	4.000	5.000	5.000	3.000	2.000	3.000	0.000	2.000	 
6295.0	1	sp|Q99LH2|PTSS1_MOUSE	 	14.2	473	55603	Phosphatidylserine synthase 1 OS=Mus musculus OX=10090 GN=Ptdss1 PE=1 SV=1	24	24	1.000	1	2	3	2	0	5	3	3	1	1	1	2	1	2	3	2	0	5	3	3	1	1	1	2	1.000	2.000	3.000	2.000	0.000	5.000	3.000	3.000	1.000	1.000	1.000	2.000	 
6296.0	1	sp|Q99LI2|CLCC1_MOUSE	 	41.4	539	60621	Chloride channel CLIC-like protein 1 OS=Mus musculus OX=10090 GN=Clcc1 PE=1 SV=1	121	121	1.000	6	10	7	9	10	9	8	10	14	13	11	14	6	10	7	9	10	9	8	10	14	13	11	14	6.000	10.000	7.000	9.000	10.000	9.000	8.000	10.000	14.000	13.000	11.000	14.000	 
6297.0	1	sp|Q99LI5|ZN281_MOUSE	 	19.4	893	96683	Zinc finger protein 281 OS=Mus musculus OX=10090 GN=Znf281 PE=1 SV=1	38	38	1.000	5	2	1	3	3	4	2	5	1	5	1	6	5	2	1	3	3	4	2	5	1	5	1	6	5.000	2.000	1.000	3.000	3.000	4.000	2.000	5.000	1.000	5.000	1.000	6.000	 
6298.0	1	sp|Q99LI7|CSTF3_MOUSE	 	43.9	717	82876	Cleavage stimulation factor subunit 3 OS=Mus musculus OX=10090 GN=Cstf3 PE=1 SV=1	145	145	1.000	12	12	14	8	9	15	12	10	12	13	13	15	12	12	14	8	9	15	12	10	12	13	13	15	12.000	12.000	14.000	8.000	9.000	15.000	12.000	10.000	12.000	13.000	13.000	15.000	 
6299.0	1	sp|Q99LI8|HGS_MOUSE	 	32.6	775	86014	Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Mus musculus OX=10090 GN=Hgs PE=1 SV=2	171	171	1.000	13	16	16	15	14	14	19	9	12	13	13	17	13	16	16	15	14	14	19	9	12	13	13	17	13.000	16.000	16.000	15.000	14.000	14.000	19.000	9.000	12.000	13.000	13.000	17.000	 
6300.0	1	sp|Q99LI9|CLP1_MOUSE	 	24.9	425	47737	Polyribonucleotide 5'-hydroxyl-kinase Clp1 OS=Mus musculus OX=10090 GN=Clp1 PE=1 SV=1	45	45	1.000	3	3	0	5	3	4	7	5	3	5	3	4	3	3	0	5	3	4	7	5	3	5	3	4	3.000	3.000	0.000	5.000	3.000	4.000	7.000	5.000	3.000	5.000	3.000	4.000	 
6301.0	1	sp|Q99LJ0|CT2NL_MOUSE	 	27.1	638	69840	CTTNBP2 N-terminal-like protein OS=Mus musculus OX=10090 GN=Cttnbp2nl PE=1 SV=1	35	35	1.000	4	0	2	2	3	3	7	2	2	5	4	1	4	0	2	2	3	3	7	2	2	5	4	1	4.000	0.000	2.000	2.000	3.000	3.000	7.000	2.000	2.000	5.000	4.000	1.000	 
6302.0	1	sp|Q99LJ1|FUCO_MOUSE	 	16.4	452	52280	Tissue alpha-L-fucosidase OS=Mus musculus OX=10090 GN=Fuca1 PE=1 SV=1	25	25	1.000	2	1	1	4	4	2	0	3	1	4	2	1	2	1	1	4	4	2	0	3	1	4	2	1	2.000	1.000	1.000	4.000	4.000	2.000	0.000	3.000	1.000	4.000	2.000	1.000	 
6303.0	1	sp|Q99LJ2|ABTB1_MOUSE	 	25.7	478	54057	Ankyrin repeat and BTB/POZ domain-containing protein 1 OS=Mus musculus OX=10090 GN=Abtb1 PE=2 SV=1	30	30	1.000	2	2	2	3	2	4	4	3	4	1	2	1	2	2	2	3	2	4	4	3	4	1	2	1	2.000	2.000	2.000	3.000	2.000	4.000	4.000	3.000	4.000	1.000	2.000	1.000	 
6304.0	1	sp|Q99LJ6|GPX7_MOUSE	 	37.6	186	21061	Glutathione peroxidase 7 OS=Mus musculus OX=10090 GN=Gpx7 PE=1 SV=1	19	19	1.000	1	2	1	2	1	1	1	1	1	0	4	4	1	2	1	2	1	1	1	1	1	0	4	4	1.000	2.000	1.000	2.000	1.000	1.000	1.000	1.000	1.000	0.000	4.000	4.000	 
6305.0	1	sp|Q99LJ7|RCBT2_MOUSE	 	14.2	551	60163	RCC1 and BTB domain-containing protein 2 OS=Mus musculus OX=10090 GN=Rcbtb2 PE=1 SV=1	24	24	1.000	2	1	1	5	3	2	1	1	1	4	2	1	2	1	1	5	3	2	1	1	1	4	2	1	2.000	1.000	1.000	5.000	3.000	2.000	1.000	1.000	1.000	4.000	2.000	1.000	 
6306.0	1	sp|Q99LL5|PWP1_MOUSE	 	40.5	501	55586	Periodic tryptophan protein 1 homolog OS=Mus musculus OX=10090 GN=Pwp1 PE=1 SV=1	49	49	1.000	3	2	3	4	5	5	4	5	6	4	4	4	3	2	3	4	5	5	4	5	6	4	4	4	3.000	2.000	3.000	4.000	5.000	5.000	4.000	5.000	6.000	4.000	4.000	4.000	 
6307.0	1	sp|Q99LM2|CK5P3_MOUSE	 	50.5	503	56990	CDK5 regulatory subunit-associated protein 3 OS=Mus musculus OX=10090 GN=Cdk5rap3 PE=1 SV=1	196	196	1.000	15	16	17	17	18	18	17	13	18	19	15	13	15	16	17	17	18	18	17	13	18	19	15	13	15.000	16.000	17.000	17.000	18.000	18.000	17.000	13.000	18.000	19.000	15.000	13.000	 
6308.0	1	sp|Q99LM9|TADA1_MOUSE	 	8.1	335	37408	Transcriptional adapter 1 OS=Mus musculus OX=10090 GN=Tada1 PE=2 SV=1	10	10	1.000	2	1	1	1	1	1	1	2	0	0	0	0	2	1	1	1	1	1	1	2	0	0	0	0	2.000	1.000	1.000	1.000	1.000	1.000	1.000	2.000	0.000	0.000	0.000	0.000	 
6309.0	1	sp|Q99LN9|DOHH_MOUSE	 	44.4	302	32905	Deoxyhypusine hydroxylase OS=Mus musculus OX=10090 GN=Dohh PE=1 SV=2	28	28	1.000	3	2	0	4	2	4	0	1	1	2	4	5	3	2	0	4	2	4	0	1	1	2	4	5	3.000	2.000	0.000	4.000	2.000	4.000	0.000	1.000	1.000	2.000	4.000	5.000	 
6310.0	1	sp|Q99LP6|GRPE1_MOUSE	 	60.4	217	24307	GrpE protein homolog 1, mitochondrial OS=Mus musculus OX=10090 GN=Grpel1 PE=1 SV=1	105	105	1.000	8	10	8	8	11	9	7	8	11	8	7	10	8	10	8	8	11	9	7	8	11	8	7	10	8.000	10.000	8.000	8.000	11.000	9.000	7.000	8.000	11.000	8.000	7.000	10.000	 
6311.0	1	sp|Q99LR1|ABD12_MOUSE	 	32.9	398	45269	Lysophosphatidylserine lipase ABHD12 OS=Mus musculus OX=10090 GN=Abhd12 PE=1 SV=2	57	57	1.000	6	4	4	4	5	6	6	5	5	6	3	3	6	4	4	4	5	6	6	5	5	6	3	3	6.000	4.000	4.000	4.000	5.000	6.000	6.000	5.000	5.000	6.000	3.000	3.000	 
6312.0	1	sp|Q99LS1|MMAD_MOUSE	 	28.7	296	32995	Cobalamin trafficking protein CblD OS=Mus musculus OX=10090 GN=Mmadhc PE=1 SV=1	6	6	1.000	2	0	0	2	0	1	0	0	0	0	0	1	2	0	0	2	0	1	0	0	0	0	0	1	2.000	0.000	0.000	2.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	 
6313.0	1	sp|Q99LS3|SERB_MOUSE	 	64.0	225	25096	Phosphoserine phosphatase OS=Mus musculus OX=10090 GN=Psph PE=1 SV=1	101	101	1.000	7	9	8	9	10	9	7	12	9	10	5	6	7	9	8	9	10	9	7	12	9	10	5	6	7.000	9.000	8.000	9.000	10.000	9.000	7.000	12.000	9.000	10.000	5.000	6.000	 
6314.0	1	sp|Q99LU0|CH1B1_MOUSE	 	19.1	199	22124	Charged multivesicular body protein 1B1 OS=Mus musculus OX=10090 GN=Chmp1b1 PE=1 SV=1	32	5	0.156	0	2	3	2	4	3	4	2	1	3	3	5	0	0	1	1	1	1	1	0	0	0	0	0	0.000	1.000	3.000	2.000	4.000	3.000	4.000	1.000	0.500	1.500	1.500	0.000	sp|Q99LU0|CH1B1_MOUSE, sp|Q9CQD4|CH1B2_MOUSE
6315.0	1	sp|Q99LV7|PIGX_MOUSE	 	10.2	254	28644	Phosphatidylinositol-glycan biosynthesis class X protein OS=Mus musculus OX=10090 GN=Pigx PE=2 SV=2	7	7	1.000	1	2	0	0	0	0	0	1	0	0	1	2	1	2	0	0	0	0	0	1	0	0	1	2	1.000	2.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	2.000	 
6316.0	1	sp|Q99LX0|PARK7_MOUSE	 	93.7	189	20021	Parkinson disease protein 7 homolog OS=Mus musculus OX=10090 GN=Park7 PE=1 SV=1	444	444	1.000	35	38	42	33	45	42	32	31	36	33	37	40	35	38	42	33	45	42	32	31	36	33	37	40	35.000	38.000	42.000	33.000	45.000	42.000	32.000	31.000	36.000	33.000	37.000	40.000	 
6317.0	1	sp|Q99LX5|MMTA2_MOUSE	 	20.8	260	29298	Multiple myeloma tumor-associated protein 2 homolog OS=Mus musculus OX=10090 GN=Mmtag2 PE=2 SV=1	9	9	1.000	1	2	0	1	0	0	1	1	1	0	1	1	1	2	0	1	0	0	1	1	1	0	1	1	1.000	2.000	0.000	1.000	0.000	0.000	1.000	1.000	1.000	0.000	1.000	1.000	 
