Program "PAW_protein_grouper.py" run on Tue Oct 28 09:49:56 2025


	=SUBTOTAL(109,B6:B6331)																					
6145	1	sp|Q9Z2H5|E41L1_MOUSE	 	 	sp|P48193|EPB41_MOUSE, sp|Q9Z2H5|E41L1_MOUSE	 	6.5	879	98314	Band 4.1-like protein 1 OS=Mus musculus OX=10090 GN=Epb41l1 PE=1 SV=2	14	8	0.571	4	6	4	2	4	2	2.160	4.296	2.174
6146	1	sp|Q9Z2I0|LETM1_MOUSE	 	 	REV_P49025, sp|Q9Z2I0|LETM1_MOUSE	 	42.4	738	82988	Mitochondrial proton/calcium exchanger protein OS=Mus musculus OX=10090 GN=Letm1 PE=1 SV=1	158	149	0.943	56	52	50	53	49	47	55.944	52.000	50.000
6147	1	sp|Q9Z2I8|SUCB2_MOUSE	 	 	 	 	56.8	433	46839	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Suclg2 PE=1 SV=3	348	348	1.000	114	123	111	114	123	111	114.000	123.000	111.000
6148	1	sp|Q9Z2I9|SUCB1_MOUSE	 	 	 	 	57.2	463	50113	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Sucla2 PE=1 SV=2	360	360	1.000	111	110	139	111	110	139	111.000	110.000	139.000
6149	1	sp|Q9Z2J0|S23A1_MOUSE	 	 	 	 	12.9	605	65553	Solute carrier family 23 member 1 OS=Mus musculus OX=10090 GN=Slc23a1 PE=1 SV=2	19	19	1.000	7	7	5	7	7	5	7.000	7.000	5.000
6150	1	sp|Q9Z2L6|MINP1_MOUSE	 	 	 	 	6.2	481	54537	Multiple inositol polyphosphate phosphatase 1 OS=Mus musculus OX=10090 GN=Minpp1 PE=1 SV=3	5	5	1.000	1	3	1	1	3	1	1.000	3.000	1.000
6151	1	sp|Q9Z2L7|CRLF3_MOUSE	 	 	 	 	11.8	442	49558	Cytokine receptor-like factor 3 OS=Mus musculus OX=10090 GN=Crlf3 PE=1 SV=1	8	8	1.000	4	2	2	4	2	2	4.000	2.000	2.000
6152	1	sp|Q9Z2M6|UBL3_MOUSE	 	 	 	 	13.7	117	13180	Ubiquitin-like protein 3 OS=Mus musculus OX=10090 GN=Ubl3 PE=1 SV=1	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000
6153	1	sp|Q9Z2M7|PMM2_MOUSE	 	 	 	 	43.0	242	27656	Phosphomannomutase 2 OS=Mus musculus OX=10090 GN=Pmm2 PE=1 SV=1	57	57	1.000	21	18	18	21	18	18	21.000	18.000	18.000
6154	1	sp|Q9Z2N8|ACL6A_MOUSE	 	 	 	 	23.5	429	47447	Actin-like protein 6A OS=Mus musculus OX=10090 GN=Actl6a PE=1 SV=2	30	30	1.000	11	6	13	11	6	13	11.000	6.000	13.000
6155	1	sp|Q9Z2P8|VAMP5_MOUSE	 	 	 	 	38.2	102	11416	Vesicle-associated membrane protein 5 OS=Mus musculus OX=10090 GN=Vamp5 PE=1 SV=1	7	7	1.000	3	2	2	3	2	2	3.000	2.000	2.000
6156	1	sp|Q9Z2Q5|RM40_MOUSE	 	 	 	 	29.1	206	24301	Large ribosomal subunit protein mL40 OS=Mus musculus OX=10090 GN=Mrpl40 PE=1 SV=2	20	20	1.000	6	8	6	6	8	6	6.000	8.000	6.000
6157	1	sp|Q9Z2Q6|SEPT5_MOUSE	 	 	sp|P28661|SEPT4_MOUSE, sp|Q9Z2Q6|SEPT5_MOUSE	 	6.2	369	42747	Septin-5 OS=Mus musculus OX=10090 GN=Septin5 PE=1 SV=2	5	1	0.200	1	2	2	0	0	1	0.000	0.000	1.091
6158	1	sp|Q9Z2S7|T22D3_MOUSE	 	 	sp|E9Q7M2|T22D2_MOUSE, sp|Q9Z2S7|T22D3_MOUSE	 	37.2	137	15177	TSC22 domain family protein 3 OS=Mus musculus OX=10090 GN=Tsc22d3 PE=1 SV=2	13	6	0.462	5	5	3	3	2	1	4.500	5.000	3.000
6160	1	sp|Q9Z2U0|PSA7_MOUSE	 	 	 	 	62.9	248	27855	Proteasome subunit alpha type-7 OS=Mus musculus OX=10090 GN=Psma7 PE=1 SV=1	81	81	1.000	30	25	26	30	25	26	30.000	25.000	26.000
6161	1	sp|Q9Z2U1|PSA5_MOUSE	 	 	REV_Q6PDK2, sp|Q9Z2U1|PSA5_MOUSE	 	62.7	241	26411	Proteasome subunit alpha type-5 OS=Mus musculus OX=10090 GN=Psma5 PE=1 SV=1	84	73	0.869	31	28	25	27	24	22	30.857	27.840	24.870
6162	1	sp|Q9Z2U2|ZN292_MOUSE	 	 	 	 	0.8	2698	301045	Zinc finger protein 292 OS=Mus musculus OX=10090 GN=Zfp292 PE=1 SV=2	31	31	1.000	7	10	14	7	10	14	7.000	10.000	14.000
6163	1	sp|Q9Z2V4|PCKGC_MOUSE	 	 	sp|Q8BH04|PCKGM_MOUSE, sp|Q9Z2V4|PCKGC_MOUSE	 	57.6	622	69354	Phosphoenolpyruvate carboxykinase, cytosolic [GTP] OS=Mus musculus OX=10090 GN=Pck1 PE=1 SV=1	278	259	0.932	89	97	92	84	90	85	88.719	96.848	91.919
6164	1	sp|Q9Z2V5|HDAC6_MOUSE	 	 	 	 	11.1	1149	125785	Histone deacetylase 6 OS=Mus musculus OX=10090 GN=Hdac6 PE=1 SV=3	31	31	1.000	11	8	12	11	8	12	11.000	8.000	12.000
6165	1	sp|Q9Z2W0|DNPEP_MOUSE	 	 	 	 	38.7	473	52206	Aspartyl aminopeptidase OS=Mus musculus OX=10090 GN=Dnpep PE=1 SV=2	85	85	1.000	29	25	31	29	25	31	29.000	25.000	31.000
6166	1	sp|Q9Z2W1|STK25_MOUSE	 	 	sp|Q99JT2|STK26_MOUSE, sp|Q99KH8|STK24_MOUSE, sp|Q9Z2W1|STK25_MOUSE	 	17.4	426	48157	Serine/threonine-protein kinase 25 OS=Mus musculus OX=10090 GN=Stk25 PE=1 SV=2	18	7	0.389	7	5	6	3	2	2	4.647	3.235	3.647
6167	1	sp|Q9Z2X1|HNRPF_MOUSE	 	 	sp|O35737|HNRH1_MOUSE, sp|P70333|HNRH2_MOUSE, sp|Q9Z2X1|HNRPF_MOUSE	 	39.8	415	45729	Heterogeneous nuclear ribonucleoprotein F OS=Mus musculus OX=10090 GN=Hnrnpf PE=1 SV=3	115	84	0.730	36	42	37	25	32	27	33.915	40.462	35.319
6168	1	sp|Q9Z2X2|PSD10_MOUSE	 	 	 	 	18.2	231	25083	26S proteasome non-ATPase regulatory subunit 10 OS=Mus musculus OX=10090 GN=Psmd10 PE=1 SV=3	10	10	1.000	3	4	3	3	4	3	3.000	4.000	3.000
6169	1	sp|Q9Z2X8|KEAP1_MOUSE	 	 	 	 	14.1	624	69552	Kelch-like ECH-associated protein 1 OS=Mus musculus OX=10090 GN=Keap1 PE=1 SV=1	16	16	1.000	4	8	4	4	8	4	4.000	8.000	4.000
6170	1	sp|Q9Z2Y3|HOME1_MOUSE	 	 	 	 	8.2	366	41412	Homer protein homolog 1 OS=Mus musculus OX=10090 GN=Homer1 PE=1 SV=2	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000
6171	1	sp|Q9Z2Y8|PLPHP_MOUSE	 	 	 	 	45.6	274	30048	Pyridoxal phosphate homeostasis protein OS=Mus musculus OX=10090 GN=Plpbp PE=1 SV=1	74	74	1.000	24	23	27	24	23	27	24.000	23.000	27.000
6172	1	sp|Q9Z2Z6|MCAT_MOUSE	 	 	 	 	56.8	301	33026	Mitochondrial carnitine/acylcarnitine carrier protein OS=Mus musculus OX=10090 GN=Slc25a20 PE=1 SV=1	115	115	1.000	36	42	37	36	42	37	36.000	42.000	37.000
6173	1	sp|Q9Z315|SNUT1_MOUSE	 	 	 	 	23.3	806	90884	U4/U6.U5 tri-snRNP-associated protein 1 OS=Mus musculus OX=10090 GN=Sart1 PE=1 SV=1	32	32	1.000	12	11	9	12	11	9	12.000	11.000	9.000
6174	1	sp|Q9Z321|TOP3B_MOUSE	 	 	 	 	10.1	862	96948	DNA topoisomerase 3-beta-1 OS=Mus musculus OX=10090 GN=Top3b PE=1 SV=1	14	14	1.000	4	5	5	4	5	5	4.000	5.000	5.000
6176	1	sp|S4R2K0|DEFM_MOUSE	 	 	 	 	23.4	231	25779	Peptide deformylase, mitochondrial OS=Mus musculus OX=10090 GN=Pdf PE=3 SV=1	10	10	1.000	4	4	2	4	4	2	4.000	4.000	2.000
6177	1	tr|A0A075B5N7|A0A075B5N7_MOUSE	 	 	 	 	26.3	95	10440	Immunoglobulin kappa variable 6-13 OS=Mus musculus OX=10090 GN=Igkv6-13 PE=1 SV=7	6	6	1.000	2	1	3	2	1	3	2.000	1.000	3.000
6178	1	tr|A0A087WPC3|A0A087WPC3_MOUSE	 	 	sp|A2A974|CP4CB_MOUSE, sp|O35728|CP4AE_MOUSE, sp|O88833|CP4AA_MOUSE, sp|Q91WL5|CP4CA_MOUSE, tr|A0A087WPC3|A0A087WPC3_MOUSE, tr|A2A8T1|A2A8T1_MOUSE, tr|F8WGU9|F8WGU9_MOUSE	 	4.1	509	58594	Cytochrome P450, family 4, subfamily a, polypeptide 29 OS=Mus musculus OX=10090 GN=Cyp4a29 PE=3 SV=1	27	0	0.000	8	10	9	0	0	0	0.000	0.000	0.000
6179	1	tr|A0A087WQ44|A0A087WQ44_MOUSE	 	 	sp|Q3TKT4|SMCA4_MOUSE, sp|Q6DIC0|SMCA2_MOUSE, tr|A0A087WQ44|A0A087WQ44_MOUSE	 	1.2	3271	349263	Snf2-related CREBBP activator protein OS=Mus musculus OX=10090 GN=Srcap PE=1 SV=1	6	4	0.667	2	3	1	1	3	0	1.077	3.000	0.000
6180	1	tr|A0A087WRT4|A0A087WRT4_MOUSE	 	 	 	 	1.5	4602	507525	FAT atypical cadherin 1 OS=Mus musculus OX=10090 GN=Fat1 PE=1 SV=2	13	13	1.000	4	3	6	4	3	6	4.000	3.000	6.000
6181	1	tr|A0A087WS16|A0A087WS16_MOUSE	 	 	 	 	24.7	2677	288690	Collagen, type VI, alpha 3 OS=Mus musculus OX=10090 GN=Col6a3 PE=1 SV=1	232	232	1.000	74	76	82	74	76	82	74.000	76.000	82.000
6182	1	tr|A0A0A6YXW6|A0A0A6YXW6_MOUSE	 	 	sp|P01878|IGHA_MOUSE, tr|A0A0A6YXW6|A0A0A6YXW6_MOUSE	 	19.8	389	41958	Immunoglobulin heavy constant alpha (Fragment) OS=Mus musculus OX=10090 GN=Igha PE=1 SV=1	20	6	0.300	8	6	6	3	1	2	6.750	2.250	4.000
6183	1	tr|A0A0B4J1F9|A0A0B4J1F9_MOUSE	 	 	 	 	2.7	1599	208217	Trichohyalin OS=Mus musculus OX=10090 GN=Tchh PE=1 SV=1	4	4	1.000	1	0	3	1	0	3	1.000	0.000	3.000
6184	1	tr|A0A0G2JG52|A0A0G2JG52_MOUSE	 	 	 	 	6.8	2065	223446	Crystallin beta-gamma domain containing 1 OS=Mus musculus OX=10090 GN=Crybg1 PE=1 SV=1	26	26	1.000	10	8	8	10	8	8	10.000	8.000	8.000
6185	1	tr|A0A0J9YTR2|A0A0J9YTR2_MOUSE	 	 	 	 	35.8	95	10829	Ncbp2 antisense 2 (head to head) OS=Mus musculus OX=10090 GN=Ncbp2as2 PE=1 SV=1	11	11	1.000	4	4	3	4	4	3	4.000	4.000	3.000
6186	1	tr|A0A0N4SUJ3|A0A0N4SUJ3_MOUSE	 	 	 	 	4.8	795	88516	N-acetylated alpha-linked acidic dipeptidase-like 2 OS=Mus musculus OX=10090 GN=Naaladl2 PE=1 SV=1	10	10	1.000	4	3	3	4	3	3	4.000	3.000	3.000
6187	1	tr|A0A0N4SVU1|A0A0N4SVU1_MOUSE	 	 	sp|P28665|MUG1_MOUSE, sp|P28666|MUG2_MOUSE, tr|A0A0N4SVU1|A0A0N4SVU1_MOUSE	 	11.0	1476	165285	Predicted gene 7298 OS=Mus musculus OX=10090 GN=Gm7298 PE=1 SV=1	84	1	0.012	29	28	27	1	0	0	1.765	0.000	0.000
6188	1	tr|A0A140LIS8|A0A140LIS8_MOUSE	 	 	sp|Q9CXR1|DHRS7_MOUSE, tr|A0A140LIS8|A0A140LIS8_MOUSE	 	10.4	335	37840	Dehydrogenase/reductase 7 like 1 OS=Mus musculus OX=10090 GN=Dhrs7l PE=1 SV=1	13	10	0.769	4	3	6	4	2	4	4.000	2.133	4.348
6190	1	tr|A0A1W2P7J1|A0A1W2P7J1_MOUSE	 	 	sp|Q3THF9|CQ10B_MOUSE, tr|A0A1W2P7J1|A0A1W2P7J1_MOUSE	 	14.1	249	27943	Coenzyme Q10A OS=Mus musculus OX=10090 GN=Coq10a PE=1 SV=1	8	6	0.750	4	2	2	3	1	2	3.500	1.250	2.000
6192	1	tr|A0A286YCX6|A0A286YCX6_MOUSE	 	 	 	 	15.2	1437	160909	Trafficking protein particle complex 8 OS=Mus musculus OX=10090 GN=Trappc8 PE=1 SV=2	43	43	1.000	14	13	16	14	13	16	14.000	13.000	16.000
6193	1	tr|A0A2I3BR81|A0A2I3BR81_MOUSE	 	 	 	 	3.8	553	63858	5'-nucleotidase domain containing 2 OS=Mus musculus OX=10090 GN=Nt5dc2 PE=1 SV=1	3	3	1.000	1	0	2	1	0	2	1.000	0.000	2.000
6194	1	tr|A0A338P6I9|A0A338P6I9_MOUSE	 	 	 	 	42.4	59	6771	Predicted gene, 56451 OS=Mus musculus OX=10090 GN=Gm56451 PE=1 SV=1	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000
6195	1	tr|A0A571BE33|A0A571BE33_MOUSE	 	 	 	 	2.0	1240	140778	von Willebrand factor A domain containing 3B OS=Mus musculus OX=10090 GN=Vwa3b PE=1 SV=1	3	3	1.000	2	1	0	2	1	0	2.000	1.000	0.000
6196	1	tr|A0A571BEN1|A0A571BEN1_MOUSE	 	 	 	 	12.9	1139	128023	Myosin binding protein C, slow-type OS=Mus musculus OX=10090 GN=Mybpc1 PE=1 SV=1	15	15	1.000	0	15	0	0	15	0	0.000	15.000	0.000
6197	1	tr|A0A571BEV2|A0A571BEV2_MOUSE	 	 	 	 	0.4	6590	747314	Coiled-coil domain containing 168 OS=Mus musculus OX=10090 GN=Ccdc168 PE=4 SV=1	3	3	1.000	1	0	2	1	0	2	1.000	0.000	2.000
6198	1	tr|A0A571BF58|A0A571BF58_MOUSE	 	 	 	 	5.4	7523	871223	Nebulin OS=Mus musculus OX=10090 GN=Neb PE=1 SV=1	20	20	1.000	2	15	3	2	15	3	2.000	15.000	3.000
6199	1	tr|A0A571BF69|A0A571BF69_MOUSE	 	 	 	 	7.5	3616	413016	Maltase-glucoamylase OS=Mus musculus OX=10090 GN=Mgam PE=1 SV=1	25	25	1.000	8	7	10	8	7	10	8.000	7.000	10.000
6200	1	tr|A0A5F8MPH8|A0A5F8MPH8_MOUSE	 	 	 	 	13.2	4356	474057	Tenascin XB OS=Mus musculus OX=10090 GN=Tnxb PE=1 SV=1	73	73	1.000	25	19	29	25	19	29	25.000	19.000	29.000
6201	1	tr|A0A5F8MPI9|A0A5F8MPI9_MOUSE	 	 	 	 	2.2	1087	122266	Rap guanine nucleotide exchange factor (GEF) 1 OS=Mus musculus OX=10090 GN=Rapgef1 PE=1 SV=1	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000
6202	1	tr|A0A668KLU9|A0A668KLU9_MOUSE	 	 	sp|P06909|CFAH_MOUSE, tr|A0A668KLU9|A0A668KLU9_MOUSE, tr|E9Q8B5|E9Q8B5_MOUSE	 	12.3	332	37978	Complement factor H-related 2 OS=Mus musculus OX=10090 GN=Cfhr2 PE=1 SV=1	9	0	0.000	3	3	3	0	0	0	0.000	0.000	0.000
6203	1	tr|A0A7N9VR94|A0A7N9VR94_MOUSE	 	 	 	 	17.7	3501	368470	AHNAK nucleoprotein 2 OS=Mus musculus OX=10090 GN=Ahnak2 PE=1 SV=1	9	9	1.000	5	2	2	5	2	2	5.000	2.000	2.000
6204	1	tr|A0A991ENW0|A0A991ENW0_MOUSE	 	 	 	 	8.8	239	25505	H1.10 linker histone OS=Mus musculus OX=10090 GN=H1f10 PE=1 SV=1	5	5	1.000	1	2	2	1	2	2	1.000	2.000	2.000
6205	1	tr|A0AAA9WW07|A0AAA9WW07_MOUSE	 	 	 	 	8.6	717	79004	A-kinase anchor protein 17A OS=Mus musculus OX=10090 GN=Akap17a PE=4 SV=1	13	13	1.000	4	5	4	4	5	4	4.000	5.000	4.000
6206	1	tr|A0AAQ4VMW3|A0AAQ4VMW3_MOUSE	 	 	 	 	12.0	1713	194185	LIM domain only 7 OS=Mus musculus OX=10090 GN=Lmo7 PE=1 SV=1	49	49	1.000	10	19	20	10	19	20	10.000	19.000	20.000
6207	1	tr|A0AAQ4VMW9|A0AAQ4VMW9_MOUSE	 	 	 	 	31.1	103	11157	Solute carrier family 35 member A4 OS=Mus musculus OX=10090 PE=1 SV=1	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000
6209	1	tr|A2A484|A2A484_MOUSE	 	 	 	 	2.1	1235	136942	Zinc finger, MYND-type containing 8 OS=Mus musculus OX=10090 GN=Zmynd8 PE=1 SV=1	5	5	1.000	2	1	2	2	1	2	2.000	1.000	2.000
6210	1	tr|A2A654|A2A654_MOUSE	 	 	 	 	1.7	3036	333224	Bromodomain PHD finger transcription factor OS=Mus musculus OX=10090 GN=Bptf PE=1 SV=1	7	7	1.000	3	3	1	3	3	1	3.000	3.000	1.000
6212	1	tr|A2ACQ1|A2ACQ1_MOUSE	 	 	 	 	2.3	703	78739	RNA helicase OS=Mus musculus OX=10090 GN=Dhx35 PE=1 SV=1	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000
6213	1	tr|A2AHR2|A2AHR2_MOUSE	 	 	 	 	11.8	287	32362	Acyl-Coenzyme A binding domain containing 4 OS=Mus musculus OX=10090 GN=Acbd4 PE=1 SV=1	10	10	1.000	3	3	4	3	3	4	3.000	3.000	4.000
6214	1	tr|A2AJ72|A2AJ72_MOUSE	 	 	sp|Q3U0V1|FUBP2_MOUSE, sp|Q91WJ8|FUBP1_MOUSE, tr|A2AJ72|A2AJ72_MOUSE	 	31.8	569	61447	Far upstream element (FUSE) binding protein 3 OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1	49	37	0.755	16	15	18	11	12	14	12.796	13.089	15.741
6215	1	tr|A2AS37|A2AS37_MOUSE	 	 	 	 	16.3	356	40431	Expressed sequence AI182371 OS=Mus musculus OX=10090 GN=AI182371 PE=1 SV=2	10	10	1.000	4	3	3	4	3	3	4.000	3.000	3.000
6216	1	tr|A2AUP5|A2AUP5_MOUSE	 	 	sp|P70266|F261_MOUSE, tr|A2AUP5|A2AUP5_MOUSE	 	11.1	514	58966	6-phosphofructo-2-kinase/fructose-2, 6-biphosphatase 3 splice variant 3 OS=Mus musculus OX=10090 GN=Pfkfb3 PE=1 SV=2	11	6	0.545	3	6	2	1	4	1	1.105	4.320	1.045
6219	1	tr|A2RTH5|A2RTH5_MOUSE	 	 	 	 	15.1	332	38192	Leucine carboxyl methyltransferase 1 OS=Mus musculus OX=10090 GN=Lcmt1 PE=1 SV=1	10	10	1.000	2	5	3	2	5	3	2.000	5.000	3.000
6220	1	tr|A6H6J2|A6H6J2_MOUSE	 	 	sp|O55071|CP2BJ_MOUSE, sp|P12790|CP2B9_MOUSE, sp|P12791|CP2BA_MOUSE, tr|A6H6J2|A6H6J2_MOUSE, tr|E9Q593|E9Q593_MOUSE, tr|Q9WV19|Q9WV19_MOUSE	 	20.2	491	55845	Cytochrome P450 OS=Mus musculus OX=10090 GN=Cyp2b13 PE=2 SV=1	54	6	0.111	18	17	19	2	2	2	5.662	5.677	6.262
6221	1	tr|A6ZI47|A6ZI47_MOUSE	 	 	sp|P05063|ALDOC_MOUSE, sp|P05064|ALDOA_MOUSE, sp|P61079|UB2D3_MOUSE, sp|Q91Y97|ALDOB_MOUSE, tr|A6ZI47|A6ZI47_MOUSE	 	18.4	364	39370	Fructose-bisphosphate aldolase OS=Mus musculus OX=10090 GN=Aldoart2 PE=1 SV=1	84	1	0.012	27	28	29	0	0	1	0.500	0.500	2.532
6224	1	tr|B1ART1|B1ART1_MOUSE	 	 	 	 	5.2	4359	487323	Vacuolar protein sorting 13D OS=Mus musculus OX=10090 GN=Vps13d PE=1 SV=1	39	39	1.000	13	14	12	13	14	12	13.000	14.000	12.000
6225	1	tr|B1AUN2|B1AUN2_MOUSE	 	 	 	 	23.2	452	50488	Translation initiation factor eIF2B subunit gamma OS=Mus musculus OX=10090 GN=Eif2b3 PE=1 SV=1	30	30	1.000	12	9	9	12	9	9	12.000	9.000	9.000
6226	1	tr|B2KF50|B2KF50_MOUSE	 	 	 	 	7.8	1429	157010	Bridge-like lipid transfer protein family member 3A OS=Mus musculus OX=10090 GN=Bltp3a PE=1 SV=1	23	23	1.000	10	7	6	10	7	6	10.000	7.000	6.000
6227	1	tr|B2RQG2|B2RQG2_MOUSE	 	 	 	 	3.8	2025	225540	PHD finger protein 3 OS=Mus musculus OX=10090 GN=Phf3 PE=1 SV=1	15	15	1.000	7	4	4	7	4	4	7.000	4.000	4.000
6228	1	tr|B2RQY6|B2RQY6_MOUSE	 	 	sp|P10404|ENV1_MOUSE, sp|P11370|ENV2_MOUSE, sp|Q99MD9|NASP_MOUSE, tr|B2RQY6|B2RQY6_MOUSE	 	2.3	695	76542	BC035947 protein OS=Mus musculus OX=10090 GN=BC035947 PE=1 SV=1	9	0	0.000	4	2	3	0	0	0	0.000	0.000	0.000
6229	1	tr|B2RT14|B2RT14_MOUSE	 	 	sp|P17717|UDB17_MOUSE, sp|Q62452|UD19_MOUSE, sp|Q63886|UD11_MOUSE, sp|Q64435|UD16_MOUSE, tr|B2RT14|B2RT14_MOUSE, tr|D3Z748|D3Z748_MOUSE, tr|K9J7B2|K9J7B2_MOUSE, tr|Q3UEP4|Q3UEP4_MOUSE, tr|Q8BJL9|Q8BJL9_MOUSE, tr|Q8R084|Q8R084_MOUSE, tr|Q8VCN3|Q8VCN3_MOUSE, tr|Q91WH2|Q91WH2_MOUSE	 	25.7	529	60073	UDP-glucuronosyltransferase OS=Mus musculus OX=10090 GN=Ugt1a5 PE=1 SV=1	172	23	0.134	51	66	55	7	10	6	10.008	13.871	9.261
6230	1	tr|B2RT54|B2RT54_MOUSE	 	 	 	 	7.7	418	45910	Apolipoprotein L 7a OS=Mus musculus OX=10090 GN=Apol7a PE=2 SV=1	4	4	1.000	0	3	1	0	3	1	0.000	3.000	1.000
6231	1	tr|B2RT89|B2RT89_MOUSE (+1)	tr|B2RT89|B2RT89_MOUSE&tr|Q96LX3|Q96LX3_MOUSE	 	sp|Q76M72|S22AR_MOUSE, tr|B2RT89|B2RT89_MOUSE, tr|Q8BWG6|Q8BWG6_MOUSE, tr|Q91WJ2|Q91WJ2_MOUSE	 	16.8	552	62108	Predicted gene, EG434674 OS=Mus musculus OX=10090 GN=Slc22a28 PE=2 SV=1	33	18	0.545	13	10	10	7	5	6	12.350	9.250	9.273
6232	1	tr|B2RXC6|B2RXC6_MOUSE	 	 	sp|O35134|RPA1_MOUSE, tr|B2RXC6|B2RXC6_MOUSE	 	3.3	1390	155736	DNA-directed RNA polymerase subunit OS=Mus musculus OX=10090 GN=Polr3a PE=1 SV=1	6	5	0.833	3	0	3	3	0	2	3.000	0.000	2.400
6233	1	tr|B2RXQ2|B2RXQ2_MOUSE	 	 	 	 	9.9	1266	142675	Ppfia1 protein OS=Mus musculus OX=10090 GN=Ppfia1 PE=1 SV=1	23	23	1.000	7	8	8	7	8	8	7.000	8.000	8.000
6234	1	tr|B2RXZ2|B2RXZ2_MOUSE	 	 	sp|E9Q5K4|CP2CN_MOUSE, sp|P15392|CP2A4_MOUSE, sp|P20852|CP2A5_MOUSE, sp|P56593|CP2AC_MOUSE, tr|B2RXZ2|B2RXZ2_MOUSE	 	53.3	492	56318	Cytochrome P450 OS=Mus musculus OX=10090 GN=Cyp2a22 PE=1 SV=1	155	21	0.135	46	59	50	4	11	6	9.063	16.583	11.293
6235	1	tr|B8JJ69|B8JJ69_MOUSE	 	 	 	 	5.4	315	35756	RIKEN cDNA 2310061I04 gene OS=Mus musculus OX=10090 GN=2310061I04Rik PE=1 SV=1	4	4	1.000	1	2	1	1	2	1	1.000	2.000	1.000
6236	1	tr|B9EJ54|B9EJ54_MOUSE	 	 	 	 	13.9	2008	227463	Nucleoporin 205 OS=Mus musculus OX=10090 GN=Nup205 PE=1 SV=1	58	58	1.000	21	17	20	21	17	20	21.000	17.000	20.000
6237	1	tr|D3YTP3|D3YTP3_MOUSE	 	 	 	 	11.5	312	34890	Metaxin OS=Mus musculus OX=10090 GN=Mtx3 PE=1 SV=2	5	5	1.000	2	1	2	2	1	2	2.000	1.000	2.000
6238	1	tr|D3YUP5|D3YUP5_MOUSE	 	 	 	 	5.3	789	87189	Exocyst complex component 3-like 2 OS=Mus musculus OX=10090 GN=Exoc3l2 PE=1 SV=2	4	4	1.000	2	1	1	2	1	1	2.000	1.000	1.000
6239	1	tr|D3YWT1|D3YWT1_MOUSE	 	 	sp|O35737|HNRH1_MOUSE, sp|P70333|HNRH2_MOUSE, tr|D3YWT1|D3YWT1_MOUSE	 	20.8	331	35181	Heterogeneous nuclear ribonucleoprotein H3 OS=Mus musculus OX=10090 GN=Hnrnph3 PE=1 SV=1	18	14	0.778	7	6	5	5	5	4	5.667	5.312	4.286
6240	1	tr|D3YXJ5|D3YXJ5_MOUSE	 	 	 	 	35.8	310	34590	LRAT domain containing 1 OS=Mus musculus OX=10090 GN=Lratd2 PE=1 SV=1	12	12	1.000	4	3	5	4	3	5	4.000	3.000	5.000
6241	1	tr|D3YYY8|D3YYY8_MOUSE	 	 	 	 	5.2	869	97387	Rho guanine nucleotide exchange factor 26 OS=Mus musculus OX=10090 GN=Arhgef26 PE=1 SV=1	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
6243	1	tr|D3YZZ5|D3YZZ5_MOUSE	 	 	 	 	36.6	224	25200	Transmembrane p24 trafficking protein 7 OS=Mus musculus OX=10090 GN=Tmed7 PE=1 SV=1	43	43	1.000	13	15	15	13	15	15	13.000	15.000	15.000
6244	1	tr|D3Z0M9|D3Z0M9_MOUSE	 	 	 	 	20.3	819	95493	RNA helicase OS=Mus musculus OX=10090 GN=Ddx23 PE=1 SV=1	47	47	1.000	14	17	16	14	17	16	14.000	17.000	16.000
6245	1	tr|D3Z1W5|D3Z1W5_MOUSE	 	 	sp|P50236|ST2A2_MOUSE, sp|P52843|ST2A1_MOUSE, tr|D3Z1W5|D3Z1W5_MOUSE, tr|K7N6K9|K7N6K9_MOUSE, tr|L7N245|L7N245_MOUSE	 	24.6	285	33552	Sulfotransferase OS=Mus musculus OX=10090 GN=Sult2a3 PE=3 SV=1	46	0	0.000	13	17	16	0	0	0	0.500	0.000	1.000
6246	1	tr|D3Z298|D3Z298_MOUSE	 	 	sp|P23953|EST1C_MOUSE, sp|Q64176|EST1E_MOUSE, sp|Q8VCC2|EST1_MOUSE, sp|Q8VCT4|EST1D_MOUSE, sp|Q91WU0|EST1F_MOUSE, tr|D3Z298|D3Z298_MOUSE, tr|D3Z5G7|D3Z5G7_MOUSE	 	5.5	562	62087	Carboxylic ester hydrolase OS=Mus musculus OX=10090 GN=Ces1h PE=1 SV=2	59	21	0.356	16	24	19	6	8	7	6.448	8.955	7.678
